"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
1071950900,"Alabama","Jackson",5599,2577,3022,4.9,91.4,2.7,0,0,0,4500,49133,7885,28262,3717,10.3,11.1,37.6,13.7,27.4,6.4,14.9,83.6,12.6,0,0.7,0.6,2.5,21.9,2126,66.8,22.7,10.5,0,9.8
1071951000,"Alabama","Jackson",4422,2468,1954,0.6,96.3,0,1.8,0,0.2,3549,33986,7517,19507,2648,18.7,18.3,20,11.5,23,14,31.6,89.5,6.9,0,0,1.2,2.5,31.1,1719,83.3,8.3,8.4,0,8.4
1071951100,"Alabama","Jackson",6993,3422,3571,1,92.2,0.8,0.5,0.5,0,5504,41012,6413,20264,2474,19.3,29.5,30.7,12.6,15,11.3,30.4,83.8,10.5,0.2,0.7,1.2,3.6,27.9,2582,76.2,16.7,7.1,0,10.9
1073000100,"Alabama","Jefferson",3114,1605,1509,9.8,16.4,73.3,0,0,0,2049,28517,5882,14959,2830,41.3,62.6,16.1,28.4,13.5,14.8,27.2,69.1,19.5,2,2.1,4.9,2.4,23.1,1220,89.7,3.9,2.5,3.9,10.7
1073000300,"Alabama","Jefferson",2124,1222,902,31.5,10.9,53.2,1.7,0,0,1279,19508,3127,14281,4048,45.4,77.6,14.3,19.8,19,29.7,17.2,67.5,6.9,4.8,12.4,3.1,5.3,19.7,873,94,5.2,0,0.8,13.3
1073000400,"Alabama","Jefferson",3515,1817,1698,0,12.7,86.9,0,0,0,2791,29527,7714,16079,3705,30.2,49.6,23.1,29,18.8,2.1,27,88.8,6.7,4.5,0,0,0,23.4,1200,86.8,10.1,3.2,0,21.2
1073000500,"Alabama","Jefferson",3060,1376,1684,2,7.7,90,0,0,0,2126,22072,6450,14028,2562,38.2,63.6,19.9,27.6,25.1,7.6,19.8,80.4,11.4,8.1,0,0,0,22.6,1006,85.7,6.3,8.1,0,21
1073000700,"Alabama","Jefferson",2739,1326,1413,1.9,0,97.2,0,0,0,1700,17083,5523,10178,1882,61.7,83.1,21.8,25.9,29.4,2.4,20.6,61,12.7,16.7,3.6,4.9,1.1,23.7,793,85.6,10,3.7,0.8,17.9
1073000800,"Alabama","Jefferson",3071,1641,1430,1.6,1.4,97,0,0,0,2672,21932,4319,15195,2315,32,48.2,16,37.4,18.8,5.4,22.4,67.8,20.4,5.1,1.2,5.5,0,20.3,1162,78.7,8.3,13,0,10.8
1073001100,"Alabama","Jefferson",4636,1833,2803,0,2,98,0,0,0,3610,37207,6877,21663,3329,16.1,30,40.7,23.1,18.2,4.3,13.7,85.9,10.2,0,0.9,0,3.1,21.3,1915,77,23,0,0,6.2
1073001200,"Alabama","Jefferson",2803,1275,1528,6.8,0.6,92.6,0,0,0,2273,27396,8589,18146,2631,22.4,45,17.3,17.5,28.3,13.5,23.4,77.2,16.4,3.3,2.1,1.1,0,20.9,1211,78,10.9,10,1.1,13.2
1073001400,"Alabama","Jefferson",2086,1074,1012,7.2,0.9,91.4,0.1,0,0,1677,31781,8387,19549,3353,22.2,49.1,16.9,26.7,19.8,11.8,24.7,71.7,25.2,2,0,0,1.1,18.9,898,76.6,19.4,4,0,10.2
1073001500,"Alabama","Jefferson",2721,1511,1210,1.4,4.6,92.1,0,0,0,2183,21420,5907,13678,1722,38.1,42.6,17.6,40.7,15.1,6.7,19.9,68.6,17.2,6.3,5.6,0.8,1.5,19.4,1098,82.4,11.7,5.8,0,21.2
1073001600,"Alabama","Jefferson",3118,1343,1775,2.4,13.2,83.7,0.5,0.2,0,2644,30040,11425,16308,3795,34.4,77.1,27,27,26.5,3.9,15.6,56.7,27.3,6.1,3.3,6.5,0,21.6,929,84.8,10.2,4.1,0.9,8.5
1073001902,"Alabama","Jefferson",1829,871,958,11.9,6,80.9,0.4,0,0,1362,25093,6405,16234,3571,31.2,39,12.6,35.8,20.4,15.5,15.6,75.9,15,2,2.7,3.7,0.7,17.6,846,80,12.2,7.8,0,6.2
1073002000,"Alabama","Jefferson",3664,1496,2168,3,23.1,71.8,0,0,0,2713,31934,12727,16372,3201,45.8,75,22.7,24.1,25.1,6.4,21.7,72.1,19.1,0,0.9,4.6,3.3,19.9,1651,86.3,9.7,4.1,0,5.7
1073002100,"Alabama","Jefferson",2299,915,1384,0,26.1,73.9,0,0,0,1823,28811,4109,22224,7429,27.8,39,26.4,22.1,27.6,9,15,79.9,15.6,0,1.1,3.5,0,20.3,1043,89.9,8.9,1.2,0,5.4
1073002200,"Alabama","Jefferson",2565,1325,1240,1,4.4,93,0.3,0.7,0,2040,34329,6609,14634,1800,25.2,48.5,10.5,26.1,28.2,9.2,26.1,82.5,8.5,3.7,3.2,0.9,1.2,28.7,927,83.8,12.1,4.1,0,16.6
1073002303,"Alabama","Jefferson",3907,1878,2029,2.9,1.5,93.5,0,0,0,2561,16461,6283,12043,2038,45.9,61.2,16.3,48.8,21.5,8.2,5.3,77.7,8.6,11.1,0,0,2.5,26.4,1099,79.1,18.5,2.5,0,23.7
1073002305,"Alabama","Jefferson",3237,1619,1618,4.9,66.4,26.8,0,1.2,0,2487,65809,4995,34527,3982,15.8,28.6,53.1,14.5,22.5,4.6,5.3,86.1,7.3,0,0,1.8,4.7,17.3,1975,73.7,21.3,5.1,0,3.8
1073002306,"Alabama","Jefferson",3686,1690,1996,4.2,75.6,18,0,0.7,0,3054,73750,7061,45229,4680,6.7,11.2,57.4,8.8,20.9,2.4,10.5,83.8,10,2.6,0,0.4,3.2,17.9,2249,70.5,20,9.5,0,4.9
1073002400,"Alabama","Jefferson",4025,1984,2041,2.7,33.4,60,0.4,0,0,3001,28258,8234,17444,2508,47.8,71.3,33,27.1,23.7,4.5,11.7,80.8,5.8,5.1,1.1,4.9,2.3,19.6,1621,81.8,12.5,5.7,0,12.3
1073002700,"Alabama","Jefferson",3806,2300,1506,0.9,43.8,50.6,0,2.4,0,3437,18144,3507,25870,3949,37.5,34.5,60.4,11,23.4,4.1,1.1,59,17.1,1.2,14.8,2.3,5.6,15.1,1259,84.2,11,4.8,0,14.9
1073002900,"Alabama","Jefferson",2185,990,1195,0,0,98.5,0,0,0,1746,16983,6150,14303,2218,35.2,49.2,3.6,58.4,26,5.3,6.7,64.8,13.8,19.9,1.4,0,0,19.9,697,92.3,6,1.7,0,26.6
1073003001,"Alabama","Jefferson",3479,1726,1753,5.2,23.3,68.6,0.1,1.4,0,2934,24920,9470,14470,3230,29.6,41.3,27.1,26.8,23.3,4.5,18.2,55.9,22.2,6.9,12.1,1.4,1.6,27.9,977,95.6,3.6,0.8,0,15
1073003002,"Alabama","Jefferson",2424,1021,1403,3.8,2.1,93.7,0,0,0,1744,18388,2640,13022,1637,49.9,74,11.2,34.7,24.2,7.2,22.6,79.5,9.2,5.8,3.1,0,2.3,27.7,677,83.5,14,2.5,0,25.4
1073003100,"Alabama","Jefferson",3683,1712,1971,2,0.8,96.8,0,0,0,2529,26985,7813,15885,3823,37.4,55.8,28.4,24,19.5,5.8,22.3,79.8,13.6,3.3,2.5,0,0.8,23.6,1235,90,9.3,0.6,0,13.1
1073003200,"Alabama","Jefferson",1229,543,686,0,9.3,89.4,0,0,0,811,20039,5273,13336,4876,45.6,53.8,18.3,33.8,31.7,1.8,14.3,74.1,17.7,3.4,3,0,1.8,21.3,328,95.1,0.9,4,0,25.6
1073003300,"Alabama","Jefferson",931,524,407,0,0,100,0,0,0,785,19167,17232,25308,13879,30.8,43.2,20.2,29.1,30.1,7.1,13.5,43.9,32.4,8.9,9.2,2,3.6,20.7,392,79.3,12.8,7.9,0,13.7
1073003400,"Alabama","Jefferson",2275,1131,1144,0.7,5.1,94,0,0,0,1762,24444,4071,13114,2397,43.4,73.4,13.6,26,28.5,8.7,23.2,77.2,13.5,3.4,1.1,2.4,2.4,25.1,793,79.9,13.7,6.3,0,22.7
